Date,Category,Descript,DayOfWeek,PdDistrict,Resolution,Address,X,Y
7/11/2017,ROBBERY,ROBBERY OF A RESIDENCE WITH BODILY FORCE,Tuesday,TARAVAL,NONE,100 Block of SANALESO AV,-122.4653228,37.7309687
7/11/2017,ASSAULT,THREATS AGAINST LIFE,Tuesday,MISSION,NONE,3000 Block of FOLSOM ST,-122.413678,37.74906473
7/11/2017,DRUG/NARCOTIC,POSSESSION OF METH-AMPHETAMINE FOR SALE,Tuesday,SOUTHERN,"ARREST, BOOKED",200 Block of 9TH ST,-122.4124334,37.77433216
7/11/2017,LARCENY/THEFT,GRAND THEFT PICKPOCKET,Tuesday,CENTRAL,NONE,500 Block of GEARY ST,-122.4119559,37.78693919
7/11/2017,LARCENY/THEFT,GRAND THEFT FROM LOCKED AUTO,Tuesday,RICHMOND,NONE,100 Block of LAKE ST,-122.4609518,37.78689527
7/11/2017,LARCENY/THEFT,GRAND THEFT BICYCLE,Tuesday,SOUTHERN,NONE,500 Block of MARKET ST,-122.4001948,37.79005279
7/11/2017,LARCENY/THEFT,GRAND THEFT FROM LOCKED AUTO,Tuesday,CENTRAL,NONE,900 Block of HYDE ST,-122.4170443,37.78959528
7/11/2017,LARCENY/THEFT,GRAND THEFT FROM LOCKED AUTO,Tuesday,SOUTHERN,NONE,SHIPLEY ST / 4TH ST,-122.4006174,37.78158762
7/11/2017,RECOVERED VEHICLE,RECOVERED VEHICLE - STOLEN OUTSIDE SF,Tuesday,TARAVAL,NONE,700 Block of CAPITOL AV,-122.4589989,37.71703771
7/11/2017,LARCENY/THEFT,PETTY THEFT OF PROPERTY,Tuesday,CENTRAL,NONE,500 Block of BEACH ST,-122.4181111,37.80702
7/11/2017,LARCENY/THEFT,GRAND THEFT FROM LOCKED AUTO,Tuesday,MISSION,NONE,GUERRERO ST / DORLAND ST,-122.4238785,37.76234449
7/11/2017,NON-CRIMINAL,FOUND PROPERTY,Tuesday,RICHMOND,NONE,CALIFORNIA ST / 22ND AV,-122.4817911,37.78402811
7/11/2017,LARCENY/THEFT,GRAND THEFT FROM LOCKED AUTO,Tuesday,NORTHERN,NONE,1300 Block of BUSH ST,-122.4194862,37.78874808
7/11/2017,VANDALISM,"MALICIOUS MISCHIEF, VANDALISM",Tuesday,CENTRAL,NONE,200 Block of POST ST,-122.4060002,37.78854062
7/11/2017,ASSAULT,DISCHARGING IN GROSSLY NEGLIGENT MANNER,Tuesday,BAYVIEW,NONE,1500 Block of SHAFTER AV,-122.389769,37.73056369
